commit	avg_loss	status	description
9372ce3	6.233700	discard	normalized-int input with AdamW cosine at 60 epochs
73062f9	2.454900	discard	digit input with AdamW cosine at 60 epochs
d2ce1a1	5.945800	discard	binary input with AdamW cosine at 60 epochs
795f7a7	6.324600	discard	normalized-int input with AdamW cosine at 90 epochs
a9e6f90	2.386900	discard	digit input with AdamW cosine at 90 epochs
ede76fc	5.921100	discard	binary input with AdamW cosine at 90 epochs
dcc2493	6.364700	discard	normalized-int input with Adam constant LR at 60 epochs
0210b1d	2.479400	discard	digit input with Adam constant LR at 60 epochs
707345c	5.842100	discard	binary input with Adam constant LR at 60 epochs
ac7615c	6.341000	discard	normalized-int input with AdamW constant LR at 90 epochs
e223f39	1.973600	discard	widen the chunk tower hidden width to 320
79b2e34	1.972100	discard	narrow the chunk tower hidden width to 192
c7b45f8	1.966400	keep	deepen the chunk tower to 3 hidden layers
6c17dd4	1.972900	discard	shallow the chunk tower to 1 hidden layer
d8f0a93	1.975800	discard	widen chunk states to 96 with 3 attention heads
76f2004	1.962900	keep	materialize deeper default chunk tower
650cdd1	1.966900	discard	narrow chunk states to 48 with 3 attention heads
e19d530	1.968800	discard	switch the tower activation to GeLU
b9c1674	1.965700	discard	switch the tower activation to ReLU
a1f2470	1.971100	discard	remove digit position embeddings
a7b1c97	1.964400	keep	remove chunk position embeddings
12984b9	1.962600	keep	drop default chunk position embeddings
9aca3cb	1.968300	discard	remove cross-chunk attention
33e20d0	1.961500	keep	remove the post-attention feedforward block
f753ebb	2.095700	discard	remove both attention and feedforward blocks
5643269	1.970800	discard	use mean pooling with a deeper head
8a442f8	1.967800	discard	deepen the final head to 2 hidden layers
a5aafb0	1.962000	keep	drop default feedforward block
6d6534d	1.966600	discard	widen the final head hidden width to 192
bfedb57	1.965500	discard	reduce digit embedding width to 18
20a1cd8	1.968100	discard	reduce digit embedding width to 18 with wider head 160
95b5b65	1.966000	discard	use digit embedding 30 with chunk dim 60
59ae341	1.969600	discard	use chunk dim 80 with 5 attention heads
